parent_id,child_id,birth_order,adoptive
1.1.5.2.1.3.3a,1.1.5.2.1.3.3.1,1,
1.1.5.2,1.1.5.2.2,2,
1.1.5.2a,1.1.5.2.2,2,
1.1.5.2.2,1.1.5.2.2.1,1,
1.1.5.2.2a,1.1.5.2.2.1,1,
1.1.5,1.1.5.3,3,
1.1.5a,1.1.5.3,3,
1.1.5.3,1.1.5.3.1,1,
1.1.5.3a,1.1.5.3.1,1,
1.1.5.3,1.1.5.3.2,2,
1.1.5.3a,1.1.5.3.2,2,
1.1.5.3,1.1.5.3.3,3,
1.1.5.3a,1.1.5.3.3,3,
1.1.5.3,1.1.5.3.4,4,
1.1.5.3a,1.1.5.3.4,4,
1.1.5.3,1.1.5.3.5,5,
1.1.5.3a,1.1.5.3.5,5,
1.1.5.3,1.1.5.3.6,6,
1.1.5.3a,1.1.5.3.6,6,
1.1.5.3,1.1.5.3.7,7,
1.1.5.3a,1.1.5.3.7,7,
1.1.5,1.1.5.4,4,
1.1.5a,1.1.5.4,4,
1.1.5.4,1.1.5.4.1,1,
1.1.5.4a,1.1.5.4.1,1,
1.1.5,1.1.5.5,5,
1.1.5a,1.1.5.5,5,
1.1.5.5,1.1.5.5.1,1,
1.1.5.5a,1.1.5.5.1,1,
1.1.5.5.1,1.1.5.5.1.1,1,
1.1.5.5.1a,1.1.5.5.1.1,1,
1.1.5.5.1.1,1.1.5.5.1.1.1,1,
1.1.5.5.1.1a,1.1.5.5.1.1.1,1,
1.1.5.5.1.1,1.1.5.5.1.1.2,2,
1.1.5.5.1.1a,1.1.5.5.1.1.2,2,
1.1.5.5.1,1.1.5.5.1.2,2,
1.1.5.5.1a,1.1.5.5.1.2,2,
1.1.5.5.1.2,1.1.5.5.1.2.1,1,
1.1.5.5.1.2a,1.1.5.5.1.2.1,1,
1.1.5.5,1.1.5.5.2,2,
1.1.5.5a,1.1.5.5.2,2,
1.1.5.5.2,1.1.5.5.2.1,1,
1.1.5.5.2a,1.1.5.5.2.1,1,
1.1.5.5.2.1,1.1.5.5.2.1.1,1,
1.1.5.5.2.1a,1.1.5.5.2.1.1,1,
1.1.5.5.2.1,1.1.5.5.2.1.2,2,
1.1.5.5.2.1a,1.1.5.5.2.1.2,2,
1.1.5.5.2.1,1.1.5.5.2.1.3,3,
1.1.5.5.2.1a,1.1.5.5.2.1.3,3,
1.1.5.5,1.1.5.5.3,3,
1.1.5.5a,1.1.5.5.3,3,
1.1.5.5.3,1.1.5.5.3.1,1,
1.1.5.5.3a,1.1.5.5.3.1,1,
1.1.5.5,1.1.5.5.4,4,
1.1.5.5a,1.1.5.5.4,4,
1.1.5.5.4,1.1.5.5.4.1,1,
1.1.5.5.4a,1.1.5.5.4.1,1,
1.1.5.5,1.1.5.5.5,5,
1.1.5.5a,1.1.5.5.5,5,
1.1.5.5,1.1.5.5.6,6,
1.1.5.5a,1.1.5.5.6,6,
1.1.5.5,1.1.5.5.7,7,
1.1.5.5a,1.1.5.5.7,7,
1.1.5.5.7,1.1.5.5.7.1,1,
1.1.5.5.7a,1.1.5.5.7.1,1,
1.1.5.5.7.1,1.1.5.5.7.1.1,1,
1.1.5.5.7.1a,1.1.5.5.7.1.1,1,
1.1.5.5.7.1,1.1.5.5.7.1.2,2,
1.1.5.5.7.1a,1.1.5.5.7.1.2,2,
1.1.5.5.7,1.1.5.5.7.2,2,
1.1.5.5.7a,1.1.5.5.7.2,2,
